Month,Version,Department,CapexSpendTRY,DepreciationTRY,RemainingNBVTRY
2023-01-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-01-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-01-01,Actual,Operations,0.0,0.0,15900000.0
2023-01-01,Actual,Sales,0.0,0.0,14500000.0
2023-01-01,Actual,Technology,0.0,0.0,20450000.0
2023-02-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-02-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-02-01,Actual,Operations,0.0,0.0,15900000.0
2023-02-01,Actual,Sales,0.0,0.0,14500000.0
2023-02-01,Actual,Technology,1630000.0,0.0,20450000.0
2023-03-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-03-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-03-01,Actual,Operations,0.0,0.0,15900000.0
2023-03-01,Actual,Sales,0.0,0.0,14500000.0
2023-03-01,Actual,Technology,1630000.0,0.0,20450000.0
2023-04-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-04-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-04-01,Actual,Operations,0.0,0.0,15900000.0
2023-04-01,Actual,Sales,0.0,0.0,14500000.0
2023-04-01,Actual,Technology,1630000.0,0.0,20450000.0
2023-05-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-05-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-05-01,Actual,Operations,0.0,0.0,15900000.0
2023-05-01,Actual,Sales,1075000.0,0.0,14500000.0
2023-05-01,Actual,Technology,1630000.0,0.0,20450000.0
2023-06-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-06-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-06-01,Actual,Operations,0.0,0.0,15900000.0
2023-06-01,Actual,Sales,1075000.0,0.0,14500000.0
2023-06-01,Actual,Technology,1630000.0,169791.67,20280208.33
2023-07-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-07-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-07-01,Actual,Operations,0.0,0.0,15900000.0
2023-07-01,Actual,Sales,1075000.0,0.0,14500000.0
2023-07-01,Actual,Technology,0.0,169791.67,20110416.67
2023-08-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-08-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-08-01,Actual,Operations,0.0,0.0,15900000.0
2023-08-01,Actual,Sales,1075000.0,0.0,14500000.0
2023-08-01,Actual,Technology,0.0,169791.67,19940625.0
2023-09-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-09-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-09-01,Actual,Operations,0.0,0.0,15900000.0
2023-09-01,Actual,Sales,1075000.0,0.0,14500000.0
2023-09-01,Actual,Technology,0.0,169791.67,19770833.33
2023-10-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-10-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-10-01,Actual,Operations,0.0,0.0,15900000.0
2023-10-01,Actual,Sales,1075000.0,107500.0,14392500.0
2023-10-01,Actual,Technology,0.0,169791.67,19601041.67
2023-11-01,Actual,Customer Success,0.0,0.0,9350000.0
2023-11-01,Actual,Finance & Corporate,0.0,0.0,10200000.0
2023-11-01,Actual,Operations,0.0,0.0,15900000.0
2023-11-01,Actual,Sales,0.0,107500.0,14285000.0
2023-11-01,Actual,Technology,0.0,169791.67,19431250.0
