Month,BusinessUnit,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct,Version,Year,MonthKey
2023-01-01,Digital Commerce,15678859.329999998,0.0,0.0,6385230.54,33966763.51,0.0,18287904.18,11902673.64,11902673.64,11902673.64,11902673.64,0.5384058500191207,0.3504211885390785,0.3504211885390785,Actual,2023,2023-01
2023-01-01,Retail Stores,11513230.28,0.0,0.0,5467531.8,22444746.79,0.0,10931516.51,5463984.71,5463984.71,5463984.71,5463984.71,0.48704120444211974,0.24344158395381926,0.24344158395381926,Actual,2023,2023-01
2023-01-01,Shared Services,0.0,0.0,420000.0,22533650.31,0.0,378605.52,0.0,-22533650.31,-22533650.31,-22953650.31,-23332255.83,,,,Actual,2023,2023-01
2023-01-01,Subscription Services,1068068.99,0.0,0.0,2213049.84,4217622.23,0.0,3149553.24,936503.4000000004,936503.4000000004,936503.4000000004,936503.4000000004,0.7467603944225227,0.22204534899750855,0.22204534899750855,Actual,2023,2023-01
2023-01-01,Wholesale,13503102.17,0.0,0.0,2668104.32,22336117.14,0.0,8833014.97,6164910.65,6164910.65,6164910.65,6164910.65,0.3954588398080008,0.2760063717144349,0.2760063717144349,Actual,2023,2023-01
2023-02-01,Digital Commerce,16146690.59,0.0,0.0,6464854.54,35408242.120000005,0.0,19261551.530000005,12796696.990000006,12796696.990000006,12796696.990000006,12796696.990000006,0.5439849700734029,0.361404470366856,0.361404470366856,Actual,2023,2023-02
2023-02-01,Retail Stores,12099732.23,0.0,0.0,5508246.859999999,23771778.84,0.0,11672046.61,6163799.75,6163799.75,6163799.75,6163799.75,0.4910043412636763,0.2592906400268361,0.2592906400268361,Actual,2023,2023-02
2023-02-01,Shared Services,0.0,0.0,420000.0,22726556.07,0.0,907670.07,0.0,-22726556.07,-22726556.07,-23146556.07,-24054226.14,,,,Actual,2023,2023-02
2023-02-01,Subscription Services,1084564.4300000002,0.0,0.0,2180346.46,4271921.19,0.0,3187356.7600000002,1007010.3000000003,1007010.3000000003,1007010.3000000003,1007010.3000000003,0.7461178748945975,0.23572773354463503,0.23572773354463503,Actual,2023,2023-02
2023-02-01,Wholesale,14318726.61,0.0,0.0,2684733.32,23813189.23,0.0,9494462.620000001,6809729.300000001,6809729.300000001,6809729.300000001,6809729.300000001,0.39870605017654753,0.2859646070179068,0.2859646070179068,Actual,2023,2023-02
